dataset,sentences,label
amazon,improp descript return it,0
amazon,work comfort,1
amazon,batteri charg life quit long,1
amazon,jabra eargel fit ear well,1
amazon,batteri life,0
amazon,check everywher featur realli disappoint,0
amazon,product exact describ,1
amazon,get signal verizon phone wont,1
amazon,doesnt job,0
amazon,would recommend it,1
amazon,plan order again,1
amazon,said phone camera nice mani cool effect play video decent well,1
amazon,satisfi cell phone day one,1
amazon,keep get better better third ive numer palm too,1
amazon,awkward use unreli,0
amazon,ship time quick,1
amazon,good hope,0
amazon,good case,1
amazon,doesnt work,0
amazon,realli good product,1
amazon,unfortun work,0
amazon,broke month use,0
amazon,dont buy it,0
amazon,father v batteri die,0
amazon,ear pad come easili week lost one,0
amazon,call drop phone come screen goe black worst stop ring intermitt,0
amazon,horribl horribl protector,0
amazon,dont like nokia either,0
amazon,reach bottom row uncomfort send end key expect be,0
amazon,bought nokia cell phone week ago nightmar,0
amazon,would take long describ bad custom servic experi amazon,0
amazon,disappoint thing speakerphon,0
amazon,terribl car accept cassett,0
amazon,product useless sinc enough charg current charg cellphon plan use with,0
amazon,say is,0
amazon,stay away q,0
amazon,use dirti,0
amazon,unreli servic mobil,0
amazon,good enough price,0
amazon,bought neither charg,0
amazon,look nice,1
amazon,excel tool especi pair phone auto answer,1
amazon,read other review havent problem it,1
amazon,product cover import light sensor ear outlet,0
amazon,comfort hand,1
amazon,work,0
amazon,poor reliabl,0
amazon,work,1
amazon,take pictur batteri drop bar start beep let know die,0
amazon,terribl product wast money,0
amazon,last time buy you,0
amazon,wast money,0
amazon,far work like charm,1
amazon,week far good,1
amazon,case best part download pictur laptop use ir even send pictur laptop phone,1
amazon,would recommend item,1
amazon,choic headset year great sound good volum good nois cancel,1
amazon,nice case feel good hand,1
amazon,item receiv counterfeit,0
amazon,realli good far probabl best bt headset ever had,1
amazon,work fine,1
amazon,receiv headset good time happi it,1
amazon,pleas see could replac well travl swivel holster blackberri flip,1
amazon,sister love it,1
amazon,good qualiti,1
amazon,far worst purchas ive made amazon,0
amazon,excel dual purpos headset,1
amazon,excel,1
amazon,work listen music cingular,0
amazon,seem complet secur hold belt keep iphon insid,1
amazon,bottowm line anoth worthless cheap gimmick sprint,0
amazon,troubl volum,0
amazon,good thing fit comfort small ear,1
amazon,warn buy,0
amazon,pair iphon could happier far,1
amazon,open batteri connect broken devic turn off,0
amazon,didnt want clip go top ear caus discomfort,0
amazon,best headset ever,1
amazon,dont trust websit dont expect help support,0
amazon,loud glad say plantron maintain flawless connect cell static normal use,1
amazon,speaker low qualiti make ring tone sound cheap,0
amazon,fit comfort came size earbud tip,1
amazon,bad recept,0
amazon,product high qualiti chines crap,0
amazon,quit comfort ear,1
amazon,dont buy product fail,0
amazon,everyth product wrong first,0
amazon,pair devic easi bare took coupl minut start make call voic dial featur,1
amazon,utter confus first caus lose coupl import contact,0
amazon,terribl phone holder,0
amazon,cutout button place perfect,1
amazon,love abl use headset land line cell,1
amazon,problem ear loop made weak materi break easili,0
amazon,near good look amazon pictur make look,0
amazon,despit flaw case except qualiti well worth addit cost own offici oem product,1
amazon,stupid that,0
amazon,hear im drive car usual dont even put loudest set,1
amazon,seller ship quick much cheaper competitor,1
amazon,good show samsung,1
amazon,bought save alot money,1
amazon,alway cut make beep beep beep sound say signal fail,0
amazon,couldnt figur out,0
amazon,phone sound ok great ok wife phone almost total unintellig couldnt understand word said it,0
amazon,take batteri phone put back togeth restart it,0
amazon,manag bend leaf spring back place metal enough stress break next drop,0
amazon,leopard print wonder wild,1
amazon,work me,1
amazon,saggi floppi piec junk,0
amazon,much better hard plastic case,1
amazon,new problem,0
amazon,happi far,1
amazon,cool phone,1
amazon,work good,1
amazon,motorola final got voic qualiti bluetooth headset right,1
amazon,loos connect phone even coupl feet two,0
amazon,great would realli recommend it,1
amazon,make easier keep bluetooth im wear it,0
amazon,said pretti useless,0
amazon,never got it,0
amazon,pair headphon worst ever sound wise,0
amazon,drain weak snap,0
amazon,charg cingular att phone,0
amazon,get extra minut carri call get cut off,1
amazon,year fliptop start get loos wobbl eventu screen went black couldnt receiv place call,0
amazon,kept catch cabl seat pull phone turn off,0
amazon,headset fulfil requir happi purchas,1
amazon,logitech bluetooth headset a,1
amazon,like fact rest light ear rather insid,1
amazon,lot websit rate good phone i,1
amazon,tri cabl comput ipod work fine,1
amazon,mic joke volum quit low,0
amazon,im return them,0
amazon,maintain connect comput lap,0
amazon,easi turn car volum control quit access,1
amazon,mine year christma bought rest famili,1
amazon,otherwis easi instal use clear sound,1
amazon,nice leather,1
amazon,purchas differ case,0
amazon,joy use,1
amazon,much disappoint compani,0
amazon,satisif that,1
amazon,didnt charg me,0
amazon,phone get bought say wow,1
amazon,button small,0
amazon,read spec alon make say wow,1
amazon,love great armband,1
amazon,realli like product motorola allot clearer ear piec mic,1
amazon,keypad tinni sometim reach wrong button,0
amazon,exchang soni ericson z im pretti happi decis,1
amazon,impress price case,1
amazon,make easier hold to,1
amazon,use product motor control center lot high voltag hum equip work great,1
amazon,pretti easi,1
amazon,cannot make call certain place,0
amazon,girl complain time phone doesnt wake like normal phone doe,0
amazon,beauti style though,1
amazon,compani charg restock fee still given refund back,0
amazon,im tri return refund,0
amazon,plug find darn thing work,0
amazon,excel product,1
amazon,earbud piec break easili,0
amazon,lousi product,0
amazon,phone tri hard everyth fail abil phone,0
amazon,best charger seen market yet,1
amazon,sweetest phone,1
amazon,oh charger seem work fine,1
amazon,fit secur ear hook even need use sound better direct ear canal,1
amazon,enough volum,0
amazon,echo problem unsatisfactori,0
amazon,could take video time qualiti poor,0
amazon,dont wast money,0
amazon,go first negat review product,0
amazon,adapt provid enough charg current,0
amazon,much hype phone assum best mistak,0
amazon,cannot take pictur case lens cover,0
amazon,phone fall easili,0
amazon,didnt work peopl hear talk,0
amazon,text messag featur realli tricki use,0
amazon,im realli disappoint charger doesnt work,0
amazon,pain ear,0
amazon,last day blew up,0
amazon,disappoint,0
amazon,kind flop around,0
amazon,screen get smudg easili touch ear face,0
amazon,piec junk lose call phone,0
amazon,item match pictur,0
amazon,thing disappoint infra red port irda,0
amazon,answer call unit never work onc,0
imdb,slow move aimless movi distress drift young man,0
imdb,sure lost flat charact audienc near half walk out,0
imdb,attempt arti black white clever camera angl movi disappoint becam even ridicul act poor plot line almost non exist,0
imdb,littl music anyth speak of,0
imdb,best scene movi gerardo tri find song keep run head,1
imdb,rest movi lack art charm mean empti work guess empti,0
imdb,wast hour,0
imdb,saw movi today thought good effort good messag kid,1
imdb,bit predict,0
imdb,love cast jimmi buffet scienc teacher,1
imdb,babi owl ador,1
imdb,movi show lot florida best made look appeal,1
imdb,song best muppet hilari,1
imdb,cool,1
imdb,right case movi deliv everyth almost right face,1
imdb,averag act main person low budget clear see,0
imdb,review long overdu sinc consid tale sister singl greatest film ever made,1
imdb,ill put gem movi term screenplay cinematographi act post product edit direct aspect film make,1
imdb,practic perfect true masterpiec sea faux masterpiec,1
imdb,structur film easili tight construct histori cinema,1
imdb,think film someth vital import occur everi minut,1
imdb,word content level film enough easili fill dozen film,1
imdb,anyon right mind ask anyth movi this,1
imdb,quit simpli highest superl form cinema imagin,1
imdb,yes film requir rather signific amount puzzl solv piec fit togeth creat beauti pictur,1
imdb,short film certain pull punch,0
imdb,graphic far best part game,0
imdb,number best th game seri,1
imdb,deserv strong love,1
imdb,insan game,1
imdb,massiv level massiv unlock charact massiv game,1
imdb,wast money game,1
imdb,kind money wast proper,1
imdb,actual graphic good time,1
imdb,today graphic crap,0
imdb,say canada fun game aye,1
imdb,game rock,1
imdb,buy play enjoy love it,1
imdb,pure brillianc,1
imdb,flick doom concept,0
imdb,idea lame take minor charact mediocr pg film make complet non sequel chang tone pg rate famili movi,0
imdb,wasnt least bit interest,0
imdb,confirm film would unfunni generic manag give away entir movi im exagger everi moment everi plot point everi joke told trailer,0
imdb,funni,0
imdb,even talent carrel cant save this,0
imdb,co star dont fare much better peopl like morgan freeman jonah hill ed helm wast,0
imdb,stori predict lazi,0
imdb,real effect work presenc anim integr scene worst obvious blue green screen work ive ever seen,0
imdb,whatev cost much didnt translat qualiti that sure,0
imdb,film succeed despit perhap obvious meagr budget,1
imdb,im glad film didnt go obvious choic lesser film certain would have,1
imdb,addit love song ever written french cancan boast cutest lead ladi ever grace screen,1
imdb,hard fall head heel love girl,1
imdb,negat insipid enough caus regret anoth hour life wast front screen,0
imdb,long whini pointless,0
imdb,recommend wait futur effort let go,0
imdb,excel cast stori line perform,1
imdb,total believ,1
imdb,ann hech utter convinc,1
imdb,sam shepard portray gung ho marin sober,1
imdb,sat rivet tv screen,1
imdb,give resound of,1
imdb,think tom hank good actor,1
imdb,enjoy read book children littl,1
imdb,disappoint movi,0
imdb,charact total annoy voic give feel fingernail chalkboard,0
imdb,total unnecessari train roller coaster scene,0
imdb,absolut warmth charm scene charact,0
imdb,movi total grate nerv,0
imdb,perform improv improvis actor twice much worri whether theyr deliv line well whether line good,0
imdb,quit honest often good,0
imdb,often dialogu doesnt realli follow line anoth fit surround,0
imdb,crackl unpredict youth energi honest found hard follow concentr meander bad,0
imdb,general great thing it,1
imdb,wouldnt say theyr worth hour time though,0
imdb,suspens builder good cross line g pg,1
imdb,especi like non clich choic parent movi could predict dialog verbatim write movi made better select,1
imdb,want movi that gross give chill great choic,1
imdb,alexand nevski great film,1
imdb,amaz film artist import whoever live,1
imdb,im glad pretenti piec didnt plan dodg stratus big shot gonna help movi maker arent restrain movi busi qu bec,0
imdb,first movi ive given year,1
imdb,ever movi need word mouth promot it,1
imdb,overal film interest thought provok,1
imdb,plus well pace suit relat short run time,1
imdb,give look,1
imdb,gave a,1
imdb,wind lion well written superbl act,1
imdb,true classic,1
imdb,actual turn pretti decent far b list horror suspens film go,1
imdb,definit worth check out,1
imdb,problem script,0
imdb,horrend,0
imdb,noth believ all,0
imdb,suspens feel frustrat retard girl were,0
imdb,manna heaven terrif film predict unpredict time,1
imdb,scene often funni occasion touch charact evalu live go,1
imdb,cast veteran actor nostalgia trip,1
imdb,ursula burton portray nun touch funni time make fun nun church,1
imdb,look movi terrif cast good music includ shirley jone rendit way look tonight uplift end give tri,1
imdb,dont think disappoint,1
imdb,frank cotton club unfaith kind embarrass watch lane gere film bad,0
imdb,act bad dialog extrem shallow insincer,0
imdb,predict even chick flick,0
imdb,polit correct,0
imdb,disappoint,0
imdb,thing realli worth watch sceneri hous beauti,1
imdb,love lane ive never seen movi lousi,0
imdb,hour half wish could bring back,0
imdb,term write fresh bold,1
imdb,act help write along well mayb idiot savant sister could play better real joy watch,1
imdb,direct cinematographi arent quit good,0
imdb,movi bore sometim found occupi peak paper instead watch never happen columbo movi befor,0
imdb,sometim embarrass look away,0
imdb,direct seem pretenti,0
imdb,scene oh matur neighbour girl misplac,0
imdb,general line plot weaker averag episod,0
imdb,scene debat whether sack trumpet fals accus murder pure horror realli stupid,0
imdb,applaus given prelud howev,1
imdb,realli like that,1
imdb,great film great director,1
imdb,movi edg seat made somewhat afraid go car end night,1
imdb,music film realli nice too,1
imdb,id advis anyon go see it,1
imdb,brilliant,1
imdb,,1
imdb,like movi way much,1
imdb,problem thought actor play villain low rent michael ironsid,0
imdb,rock world certain must see anyon social physic outlet,1
imdb,didnt make fact overal tremend bore movi,0
imdb,chemistri ben affleck sandra bullock film couldnt understand would consid even leav wife chick suppos knock by,0
imdb,sever moment movi didnt need excruci slow move,0
imdb,poor remak best friend wed,0
imdb,great disappoint,0
imdb,cannot believ actor agre film,0
imdb,could stand even watch long fear lose q,0
imdb,guess nobodi network air dribbl watch put on,0
imdb,imdb rate go low aw time get negat number case these,0
imdb,saw mirrormask last night unsatisfactori experi,0
imdb,unfortun inexperi direct meant scene scene pass littl way dramat tension conflict,0
imdb,central theme film handl inept stereotyp depth imagin,0
imdb,pretti pictur world cannot make piec work flaw core,0
imdb,hour half wast time follow bunch pretti high schooler whine cri life,0
imdb,cant relat hell bare understand them,0
imdb,definit cult classic well worth view share other,1
imdb,movi pure disast stori stupid edit worst seen confus incred,0
imdb,fish bad made underwat shot repeat thousand time film,0
imdb,truli truli bad film,0
imdb,act terribl write wors,0
imdb,possibl way movi could redeem would mst k fodder,0
imdb,paid much,0
imdb,real treat see anthoni quinn play crazi hors,1
imdb,bore,0
imdb,plot whatsoev,0
imdb,plot all,0
imdb,horribl,0
imdb,worst hour half lifeoh gosh,0
imdb,walk theatr minut get relief,0
imdb,hate movi like that,0
imdb,yeah movi pretti much suck,0
imdb,plot storylin,0
imdb,go see movi bring pillow girlfriend boyfriend keep occupi out,0
imdb,aw,0
imdb,dont think ive ever gone movi dislik much,0
imdb,good thing ticket cost dollar would mad id paid see crap,0
imdb,nobodi identifi charact theyr cardboard cutout stereotyp predict revers stereotyp,0
imdb,bad film bad write good actor ugli cartoon craft paul haggi peopl cant handl anyth bold stroke storytel pictur paint crayon,0
imdb,crash depress littl noth provok emot teach noth alreadi know racism prejudic bad thing,0
imdb,still like movi empower women there enough movi like one,1
imdb,brain attempt shut part primal impuls self preserv,0
imdb,left shatter experi watch film took good hour fulli recov,0
imdb,movi join reveng boogeyman zombiez part hellish triniti horror film,0
imdb,certain mean distinct good way,0
imdb,mean terribl way,0
imdb,film redeem featur,0
imdb,everyth appal,0
imdb,artless camera work endless present us ugliest set imagin e,0
imdb,stori beyond stupid,0
imdb,script script,0
imdb,kid annoy,0
imdb,lead man charisma free,0
imdb,utter without merit level akin tortur,0
imdb,ill even say tortur,0
imdb,mayb would reason explan atroc,0
imdb,pleasant voyag self discoveri,0
imdb,high unrecommend,0
imdb,premis sound stupid that is,0
imdb,yes bad,0
imdb,noth recommend,0
imdb,excel perform ms,1
imdb,garbo show right bat talent could carri silent era want see silent work netflix doesnt seem stock them,1
imdb,great see renown silent screenwrit franc marion hasnt miss step go silent sound,1
imdb,movi suffer write need suspens,0
imdb,mani close up,0
imdb,movi seem drag hero didnt realli work freedom,0
imdb,movi definit averag rent,0
imdb,youll love it,1
imdb,movi bad,0
imdb,bad,0
imdb,film way long,0
imdb,definit bad one,0
imdb,movi receiv great qualiti film age,1
imdb,john wayn incred job young movi industri,1
imdb,screen presenc shine thought even though senior actor screen him,1
imdb,think must see older john wayn film,1
imdb,realli dont see anyon could enjoy movi,0
imdb,dont think ive ever seen movi half bore self indulg piec junk,0
imdb,probabl would better director hadnt spent movi showcas art work realli isnt noteworthi,0
imdb,anoth thing didnt realli like charact got punch face gallon blood would spew forth soon after,0
imdb,jami foxx absolut ray charl,1
imdb,perform simpli genius,1
imdb,own film spacek own coal miner daughter quaid own great ball fire,1
imdb,fact hard rememb part ray charl act play man himself,1
imdb,ray charl legendari,1
imdb,ray charl life provid excel biograph materi film goe well beyond anoth movi musician,1
imdb,hitchcock great director,1
imdb,iron most find film total wast time watch,0
imdb,second hitchcock pretti much perfect thriller chase movi,1
imdb,pander audienc sabotag film,0
imdb,henc whole stori lack certain energi,0
imdb,plot simpli rumbl like machin desper depend addit new scene,0
imdb,usual hitchcock logic flaw,0
imdb,mishima extrem uninterest,0
imdb,chilli unremark movi author live work chilli abstrus cultur,0
imdb,flat reenact dont hold attent emot adrift stagi,0
imdb,rest sit aw soldier sing song masculin pledg hairsplit puriti admir sword etc,0
imdb,bore piec kill momentum movi quicker anyon els,0
imdb,schrader made resum full lousi amateurish film,0
imdb,first watch movi love it,1
imdb,total fascin music danc everyth,1
imdb,recent watch whole thing dvd complet struck extrem stupid storylin contain hole inconsist frank whole lot crap horrid danc was,0
imdb,mean realist world would never gotten ballet repertori whole thing quit pathet,0
imdb,charact develop lack depth,0
imdb,woa talk aw,0
imdb,wast time,0
imdb,horribl,0
imdb,worst sappiest dialogu could go on,0
imdb,realli made unwatch direct,0
imdb,poor actor,0
imdb,cant even tell talent pathet line speak director gave action,0
imdb,check director filmographi site see film didnt chanc,0
imdb,would even good made tv flick,0
imdb,good intent made film great film might greatest film ever made,1
imdb,film great actor master director signific theme least would signific theme underton fifti existenti world weari aerial scene ought thrill sens imagin charact might deepli care,1
imdb,regrett film fail,0
imdb,movi lack visual interest drama express feel celebr patriot underlin narrat,0
imdb,actress wors use june allison movi,0
imdb,enjoy watch it,1
imdb,unfortun bad movi plain bad,0
imdb,bad script bad direct horribl act make plain bad,0
imdb,dialogu suck,0
imdb,cinematographi call suck,0
imdb,soundtrack suck,0
imdb,act suck,0
imdb,concert sequenc suck,0
imdb,nice,1
imdb,funni,1
imdb,funni,1
imdb,overal movi cheap trash,0
imdb,movi funni consid ridicul it,0
imdb,came feel angri,0
imdb,spoiler whatev els cant said surfac superbl craft,1
imdb,cinematographi simpli stun say least fx noth state art,1
imdb,conceptu show offer littl bit everyth everybodi parent kid fantasi fx fan,1
imdb,wasnt singl sour note struck act wise either surpris solid cast here,1
imdb,thing consid job well done,1
imdb,thank good movi like done releas,1
imdb,best mexican movi ever less understood even mexican matter identifi felt it,1
imdb,rank high great noir crime drama incred perform belmondo lino ventura,1
imdb,attent given everi charact complex psycholog portray detail loyalti treacheri love hope tremend,1
imdb,excel drama excel thriller excel film,1
imdb,best melvill,1
imdb,everyth film simpli incred,1
imdb,truli take journey eye soul child,1
imdb,black water thriller manag complet transcend limit indi flick continu subvert expect emerg intens experi,1
imdb,perform real grip crocdodil extrem well done inde black water websit believ that use real croc swamp locat fabul,1
imdb,thorough enjoy christoph eccleston took control tardi continu seri,1
imdb,im sure tri film,0
imdb,turn good day feel night disturb memori guess succeed,0
imdb,lot beauti place,1
imdb,forc like everyth movi,0
imdb,lame,0
imdb,here movi realli pi ed off,0
imdb,dont even get start jerki camerawork,0
imdb,saw theater thought go sick,0
imdb,summari wittic werent witti,0
imdb,plot well said id let go,0
imdb,act bad,0
imdb,realli bad,0
imdb,even billi bob couldnt rise script wors,0
imdb,camerawork bad,0
imdb,rate of,0
imdb,amaz final possibl best trilog time,1
imdb,kieslowski never ceas amaz me,1
imdb,favourit director talent director histori cinema,1
imdb,use colour french flag film noth short incred everi shot everi scene like work art,1
imdb,visual appeal movi ive ever seen,1
imdb,subtl connect film awesom,1
imdb,mention huge spoiler love end charact film remain survivor ferri disast valentin young judg togeth old man watch tv solidifi happi suffer dealt mani year,1
imdb,couldnt think better way end film smile face great way wrap amaz film trilog,1
imdb,recommend everyon love film movi anyth work art,1
imdb,movi trilog,1
imdb,liter vomit watch film,0
imdb,think peopl found anoth roth pearl,1
imdb,perform award stun,1
imdb,stori told eloqu franci ford coppola year earlier realli unfold gradual leav room charact develop,1
imdb,wonder locat lie stori contrast,1
imdb,beauti direct film nicola roeg wih sublim cast,1
imdb,im translat movi live first movi year work experi found offens intellig,0
imdb,someon strive great poetri deliv muddl often ridicul stori bunch dispar scene pretenti dialogu get worst kind movi review accur defin pretenti crap,0
imdb,find movi intellig even master say intellig imagin obvious use tri make sens piti attempt human natur tri make sens thing,0
imdb,thing toler polit incorrect well im artist freedom suspens disbelief slavic femal charact much,0
imdb,fun funni movi,1
imdb,high entertain angl,1
imdb,featur outlandish array memor psychot lovabl nut,1
imdb,enjoy get see run around play game danger,1
imdb,even sweet moment,1
imdb,telephon repair man realli funni reaction nut bitchi boss truli genuin,1
imdb,charact film tremend well play,1
imdb,realli find funni,1
imdb,actual smart movi,1
imdb,brilliant twist end,1
imdb,love it,1
imdb,end perfect youll shed tear,1
imdb,thrill see movi like this,1
imdb,never forget now,1
imdb,cult cult classic,1
imdb,depth charact man underneath it,0
imdb,malta set dri barren dialogu,0
imdb,movi terribl,0
imdb,hockey scene terribl defensemen play like theyr year old goali dive shot feet wide net etc,0
imdb,havent seen dont wast time,0
imdb,call movi drama ridicul,0
imdb,start watch didnt believ charact,0
imdb,particular relationship bakeri assist waitress didnt work all,0
imdb,superfici movi gave feel watch play rather film,0
imdb,charact stagey storylin lot like stage farc,0
imdb,time pyromaniac waylaid assist bore didnt care happen next switch off,0
imdb,glad didnt pay see it,0
imdb,didnt laugh even smile onc,0
imdb,wasnt anyth big yawn,0
imdb,realli good show watch,1
imdb,educ children year old,1
imdb,barney definit super de duper,1
imdb,pretti funni,1
imdb,babi bop cute,1
imdb,kid cool too,1
imdb,storm trooper even bad enough make list wonder terribl movi,0
imdb,lame,0
imdb,guy said hes better dialogu pot plant right,0
imdb,everyth movi stupid,0
imdb,even love bad movi watch movi,0
imdb,shame,0
imdb,would give televis seri plus could,1
imdb,writer smack think best actor actress bonus show charact real,1
imdb,must say tape episod find watch again,1
imdb,know gave a,1
imdb,dont know exact movi latch endear movi becom special part famili memori,1
imdb,total absolut recommend movi anyon like good wholesom famili movi exact is,1
imdb,thing kid get absolut hilari watch,1
imdb,best movi show strong sibl bond other,1
imdb,much interest action suspens less unneed controversi,1
imdb,everyth act cinematographi solid,1
imdb,damian talent versatil mani way write portray differ charact screen,1
imdb,movi cut edg it,1
imdb,pleas know modern day genius let passion art drive take us audienc him,1
imdb,new charact werent memor found forget who,0
imdb,felt though go ireland absolut noth whatsoev,0
imdb,didnt make scare horrifi make sympathet toward charact simpli annoy,0
imdb,jerki camera movement annoy,0
imdb,plot pretti much everi cheap horror,0
imdb,pathet attempt give charact depth didnt realli work rest plot,0
imdb,guess suppos clever twist shed light situat stupid,0
imdb,see probabl leav shelf,0
imdb,elia kotea jack palanc play good role angelina hot get nake billi drago appear cool usual cameo sven ole thorsen help make enjoy movi good act decent budget,1
imdb,awesom movi bought ebay,1
imdb,realli love stori line poler bear kinda cute anyon question fort steel ask away,1
imdb,total unfunni movi top pathet unrealist throughout whole minut utter tortur probabl look watch time,0
imdb,luci bell much higher crap sink low quit depress,0
imdb,movi make sick watch slacker make excus stupid action minut,0
imdb,god never get minut back,0
imdb,think wonder part liter full wonder excerpt work,1
imdb,set especi design work camera amaz styliz beauti effect,1
imdb,could use exemplar set design,1
imdb,stori power explor natur man art,1
imdb,watch film want learn work artist,1
imdb,high recommend movi anyon interest art poetri theater polit japanes histori,1
imdb,wind lion see wonder render america imperi age,1
imdb,make stori differ terrif product valu faultless photographi composit edit terrif cast underappreci brian keith play bulli teddi vivid histori,1
imdb,though wind lion told larg eye son everi member famili identifi charact whether sean conneri nobl brigand candac bergen feisti heroin john huston wili john hay steve kanali spiffi radiant ruthless lieuten roosevelt big stick,1
imdb,high adventur best,1
imdb,think robert ryan best film portray someon like father schizophren real life father although never murder anyon affect second world war made wors,1
imdb,humour get get day apt,1
imdb,mother brother saw robert ryan portray type man good imit type individu impress,1
imdb,almost song cover girl old fashion tune,0
imdb,annoy thing cover girl way rita hayworth put pedest,0
imdb,unfortun cover girl exampl hollywood use exploit women financi gain,0
imdb,non linear narrat thus mani flashback everi part articul quit well,1
imdb,good cinematographi make monica bellucci look beauti,1
imdb,good commentari today love undoubt film worth see,1
imdb,peopl first timer film make think excel job,1
imdb,popular cinema good hous good reaction plenti laugh,1
imdb,feel good film that felt came cinema,1
imdb,northern humour posit communiti repres,1
imdb,rather enjoy it,1
imdb,like it,1
imdb,couldnt take serious,0
imdb,realli creat uniqu feel though,1
imdb,vivian schill excel job script,1
imdb,world better garbag theatr today,1
imdb,role play well,1
imdb,screami masculin right,1
imdb,camera realli like movi,1
imdb,would cast role readi script,1
imdb,european movi nice throwback time student experi live abroad interact nation although circumst slight differ,1
imdb,fan movi suck realli bad,0
imdb,even wors ticker,0
imdb,movi bad,0
imdb,like build use coupl locat mayb poor hummh,0
imdb,blew,0
imdb,movi excellentangel beauti scamp adorablehi littl yelp hes scare funniest part scamp caught curtain angel scamp sing ive never feel total recommend movi come special edit june cover scamp garbag angel underneath lid,1
imdb,cant explain movi romant charm hilari ador junkyard scene funni junkyard dog someth special funni laugh kid love buy come new featur,1
imdb,chosen tortur disgust piec blatant american propaganda,0
imdb,show made american stupid full hatr clich admit elsewher,0
imdb,almost everyon involv must return school act utter predict bad script pile garbag round,0
imdb,wish could enter negat valu admin,0
imdb,set bad wouldnt look place thunderbird episod,0
imdb,use slow motion needless repeat throughout movi well back bad act bad kind word continu scene thrown reason whatsoev vehicl look like made corn flake box directori style border stupid,0
imdb,oh yeah storylin pathet too,0
imdb,hate write bad review film especi realli like star film bad dont believ second anyon could proud it,0
imdb,filmmak director would hide head sand id spent whatev amount money time movi,0
imdb,short monument wast time energi would recommend anyon ever see film,0
imdb,came free dvd player bought still turn thing halfway embarrass howel,0
imdb,set for,0
imdb,interest premis billi drago alway good danger nut bag side note id love see drago stephen mchatti lanc hendrikson flick togeth talk rage cheekbon,1
imdb,soundtrack wasnt terribl either,1
imdb,act even profession drago debbi rochon terribl direct wors perhap contributori former dialog chimp like camera work bare toler,0
imdb,still set got big oy vey scale,1
imdb,yes simplifi thing sake breviti realli core problem film much go without real fulfil explan,0
imdb,good job quit amus,1
imdb,convolut plot didnt convinc much film watch weird question glanc,0
imdb,let girlfriend talk see bad idea hate it,0
imdb,last minut movi bad well,1
imdb,bela lugosi total extran inton odd line,0
imdb,act decid wooden though wors period univers b movi,0
imdb,like armand assant cabl compani summari sound interest watch twice alreadi probabl again,1
imdb,believ screenwrit good job tie loos end,1
imdb,score most plot,1
imdb,wont say dont like spoiler dont want believ film worth time,1
imdb,wow bad film,0
imdb,frighten least bare comprehens,0
imdb,plot doesnt hang togeth act absolut appal,0
imdb,even good camp valu,0
imdb,wasnt expect oscar materi this,0
imdb,youd iq particular stupid mollusk see come,0
imdb,film use word loos insult movi go public,0
imdb,someon involv knew string togeth narrat,0
imdb,get simpli there noth lower,0
imdb,watch recent fox movi channel disappoint,0
imdb,know contract player littl control script act bad script,0
imdb,victor mclaglen even bad brian donlevi almost unrecogniz,0
imdb,consid relat screen taylor stanwyck surpris littl chemistri screen them,0
imdb,premis film ridicul presid u s,0
imdb,death row scene entir unmov,0
imdb,thing wors taylor act stanwyck sing,0
imdb,whatev produc go miss entir,0
imdb,deepli impress charact play,1
imdb,knew saw film great thing come gift actor,1
imdb,cheap cheerless heist movi poor characteris lot underbit style stoic emot think chow yun fat better tomorrow cheesi clich thrown abandon factori readi poor execut fli judo roll la john woo,0
imdb,even squib look aw,0
imdb,point proceed look remot like america,0
imdb,plot deriv predict end like merci kill,0
imdb,aw dialogu hopeless overact everyon get shot top real wast space time,0
imdb,uneasi bad movi scare all,0
imdb,dialogu compos thing make littl sens,0
imdb,minut footag wast show mediocr elder actor awkward babbl overwrought pseudo satan gibberish corni enough make teen goth blush almost alway old english sometim latin made word,0
imdb,direct sloppi best,0
imdb,hackney write certain made even wors bad direct,0
imdb,cours act blah,0
imdb,act whole cast could put scale balanc perfect overact underact,0
imdb,final get end wouldv great handl compet peopl jerri falwel,0
imdb,love movi great portray famili share up end knew special love other,1
imdb,seen mani movi star jaclyn smith god best though came year ago,1
imdb,movi contain star cast love open eye see actor havent seen befor,1
imdb,movi kind long length enjoy everi minut it,1
imdb,overal rate movi scale,1
imdb,lifetim air enough anyon know store sell let know must have,1
imdb,particular rememb sens assault strident cord music would blare littl warn even less mean,0
imdb,sort pap screen afternoon punish unemploy job,0
imdb,total differ load understat black comedi film get see rememb it,1
imdb,movi creat univers fascin everi way,1
imdb,movi realli got me,1
imdb,see it,1
imdb,realli hope team behind movi make movi continu kinda weird style,1
imdb,forgot cast superb trond fausa aurv g perfect role bothersom man doesnt understand whi,1
imdb,movi good humor comment life in,1
imdb,found move beauti enjoy uplift,1
imdb,initi local site film film buffalo intrigu me,1
imdb,later found lost power film,1
imdb,entir audienc applaud conclus film,1
imdb,left theater lilt step joy heart hope human race,1
imdb,duri wholesom appear give fine perform,1
imdb,rest cast play well,1
imdb,cinematographi noteworthi includ fine view barcelona fame gaudi tower,1
imdb,minut film start second thought,0
imdb,half way film start dislik it,0
imdb,time film end dislik despis it,0
imdb,film lack convinc script,0
imdb,script look rough draft written shoot began finish script complet,0
imdb,thing happen charact person chang plot twist occur real reason script call it,0
imdb,cast good,1
imdb,worth check out,1
